,datetimess,values
0,2021-05-09 07:29:59,34.17125
1,2021-05-09 07:29:57,35.15507
2,2021-05-09 07:29:55,29.85126
3,2021-05-09 07:29:53,10.29566
4,2021-05-09 07:29:51,14.25692
5,2021-05-09 07:29:49,42.88947
6,2021-05-09 07:29:47,33.08759
7,2021-05-09 07:29:45,16.2405
8,2021-05-09 07:29:43,11.5105
9,2021-05-09 07:29:40,12.95272
10,2021-05-09 07:29:38,15.49296
11,2021-05-09 07:29:36,14.89264
12,2021-05-09 07:29:34,21.02837
13,2021-05-09 07:29:32,16.36351
14,2021-05-09 07:29:28,28.90571
15,2021-05-09 07:29:26,30.0181
16,2021-05-09 07:29:24,16.11034
17,2021-05-09 07:29:22,35.75537
18,2021-05-09 07:29:20,43.92493
19,2021-05-09 07:29:18,34.64044
20,2021-05-09 07:29:16,12.8076
21,2021-05-09 07:29:14,15.20194
22,2021-05-09 07:29:12,10.72899
23,2021-05-09 07:29:10,13.04299
24,2021-05-09 07:29:08,14.93862
25,2021-05-09 07:29:06,22.03092
26,2021-05-09 07:29:04,21.72588
27,2021-05-09 07:29:02,41.02599
28,2021-05-09 07:29:00,24.21113
29,2021-05-09 07:28:58,21.51189
30,2021-05-09 07:28:56,12.51351
31,2021-05-09 07:28:54,28.24392
32,2021-05-09 07:28:51,41.92952
33,2021-05-09 07:28:49,25.21367
34,2021-05-09 07:28:49,16.90691
35,2021-05-09 07:28:45,10.39879
36,2021-05-09 07:28:43,12.95253
37,2021-05-09 07:28:41,13.47661
38,2021-05-09 07:28:39,13.88686
39,2021-05-09 07:28:37,22.17017
40,2021-05-09 07:28:35,48.35756
41,2021-05-09 07:28:31,18.91659
42,2021-05-09 07:28:29,17.31486
43,2021-05-09 07:28:27,30.27283
44,2021-05-09 07:28:25,19.8698
45,2021-05-09 07:28:23,29.19567
46,2021-05-09 07:28:21,22.54066
47,2021-05-09 07:28:19,22.61015
48,2021-05-09 07:28:17,20.64614
49,2021-05-09 07:28:15,15.66347
50,2021-05-09 07:28:13,15.28923
51,2021-05-09 07:28:11,13.68777
52,2021-05-09 07:28:09,52.17653
53,2021-05-09 07:28:07,39.7436
54,2021-05-09 07:28:05,21.6458
55,2021-05-09 07:28:03,12.06256
56,2021-05-09 07:28:00,13.55033
57,2021-05-09 07:27:58,25.82429
58,2021-05-09 07:27:56,32.98697
59,2021-05-09 07:27:55,24.95006
60,2021-05-09 07:27:52,21.38207
61,2021-05-09 07:27:50,20.931
62,2021-05-09 07:27:48,17.1993
63,2021-05-09 07:27:46,15.5979
64,2021-05-09 07:27:44,15.76211
65,2021-05-09 07:27:42,17.15843
66,2021-05-09 07:27:40,30.13881
67,2021-05-09 07:27:38,29.48368
68,2021-05-09 07:27:36,62.15923
