,datetimess,values
0,2021-05-09 16:19:58,121.4416
1,2021-05-09 16:19:56,133.9393
2,2021-05-09 16:19:54,80.41308
3,2021-05-09 16:19:52,75.43259
4,2021-05-09 16:19:50,112.4027
5,2021-05-09 16:19:48,172.2703
6,2021-05-09 16:19:46,204.6584
7,2021-05-09 16:19:44,202.2073
8,2021-05-09 16:19:42,154.3956
9,2021-05-09 16:19:40,89.53004
10,2021-05-09 16:19:37,53.77378
11,2021-05-09 16:19:36,44.0294
12,2021-05-09 16:19:34,77.70483
13,2021-05-09 16:19:31,82.11253
14,2021-05-09 16:19:29,131.4396
15,2021-05-09 16:19:27,194.9411
16,2021-05-09 16:19:25,176.3083
17,2021-05-09 16:19:23,138.0222
18,2021-05-09 16:19:21,100.2363
19,2021-05-09 16:19:19,86.40847
20,2021-05-09 16:19:17,52.8333
21,2021-05-09 16:19:15,59.64904
22,2021-05-09 16:19:13,110.7476
23,2021-05-09 16:19:11,173.9756
24,2021-05-09 16:19:09,210.4143
25,2021-05-09 16:19:07,173.9498
26,2021-05-09 16:19:05,137.8645
27,2021-05-09 16:19:03,108.3587
28,2021-05-09 16:19:01,81.2668
29,2021-05-09 16:18:59,66.87616
30,2021-05-09 16:18:57,92.76128
31,2021-05-09 16:18:55,204.5277
32,2021-05-09 16:18:53,220.7997
33,2021-05-09 16:18:50,202.7667
34,2021-05-09 16:18:48,152.2139
35,2021-05-09 16:18:47,101.3018
36,2021-05-09 16:18:46,41.20967
37,2021-05-09 16:18:42,46.55695
38,2021-05-09 16:18:40,71.55346
39,2021-05-09 16:18:38,155.7216
40,2021-05-09 16:18:36,170.6723
41,2021-05-09 16:18:34,189.7747
42,2021-05-09 16:18:32,214.6935
43,2021-05-09 16:18:30,153.2228
44,2021-05-09 16:18:28,87.08203
45,2021-05-09 16:18:26,46.01354
46,2021-05-09 16:18:24,63.23768
47,2021-05-09 16:18:22,124.3928
48,2021-05-09 16:18:20,193.7156
49,2021-05-09 16:18:18,225.1296
50,2021-05-09 16:18:16,188.83
51,2021-05-09 16:18:14,181.0594
52,2021-05-09 16:18:12,115.1958
53,2021-05-09 16:18:12,50.40415
54,2021-05-09 16:18:08,61.28532
55,2021-05-09 16:18:07,66.85445
56,2021-05-09 16:18:04,104.8236
57,2021-05-09 16:18:02,184.9066
58,2021-05-09 16:17:59,216.8072
59,2021-05-09 16:17:57,165.3953
60,2021-05-09 16:17:57,114.538
61,2021-05-09 16:17:54,104.7806
62,2021-05-09 16:17:51,61.29605
63,2021-05-09 16:17:50,75.31978
64,2021-05-09 16:17:47,145.4676
65,2021-05-09 16:17:45,168.8106
66,2021-05-09 16:17:43,220.1562
67,2021-05-09 16:17:41,198.3623
68,2021-05-09 16:17:39,116.9717
69,2021-05-09 16:17:37,84.51666
70,2021-05-09 16:17:35,76.88851
71,2021-05-09 16:17:33,92.74303
72,2021-05-09 16:17:31,140.831
73,2021-05-09 16:17:29,195.8839
74,2021-05-09 16:17:27,183.1055
75,2021-05-09 16:17:25,147.9856
76,2021-05-09 16:17:23,152.1354
77,2021-05-09 16:17:21,92.78218
78,2021-05-09 16:17:19,68.20246
79,2021-05-09 16:17:17,54.02288
80,2021-05-09 16:17:15,79.92766
81,2021-05-09 16:17:13,134.5561
82,2021-05-09 16:17:11,189.0345
83,2021-05-09 16:17:08,74.2263
84,2021-05-09 16:17:06,86.45162
85,2021-05-09 16:17:04,215.6196
86,2021-05-09 16:17:04,71.97927
87,2021-05-09 16:17:00,155.4201
88,2021-05-09 16:16:58,111.0901
89,2021-05-09 16:16:56,114.8487
90,2021-05-09 16:16:54,168.9653
91,2021-05-09 16:16:52,99.73098
92,2021-05-09 16:16:50,190.6151
93,2021-05-09 16:16:48,68.50447
94,2021-05-09 16:16:46,184.7406
95,2021-05-09 16:16:44,56.18483
96,2021-05-09 16:16:42,184.4839
97,2021-05-09 16:16:40,138.3646
98,2021-05-09 16:16:38,136.9508
99,2021-05-09 16:16:36,188.7396
