,datetimess,values
0,2021-05-10 16:59:58,109.0086
1,2021-05-10 16:59:56,104.1945
2,2021-05-10 16:59:54,111.2305
3,2021-05-10 16:59:52,139.2815
4,2021-05-10 16:59:50,213.4255
5,2021-05-10 16:59:47,246.858
6,2021-05-10 16:59:45,263.024
7,2021-05-10 16:59:44,271.864
8,2021-05-10 16:59:41,202.4389
9,2021-05-10 16:59:39,201.8475
10,2021-05-10 16:59:37,165.3375
11,2021-05-10 16:59:35,91.7774
12,2021-05-10 16:59:33,88.02715
13,2021-05-10 16:59:31,108.3077
14,2021-05-10 16:59:29,109.8711
15,2021-05-10 16:59:27,122.9535
16,2021-05-10 16:59:25,161.6536
17,2021-05-10 16:59:23,269.2312
18,2021-05-10 16:59:21,267.5199
19,2021-05-10 16:59:19,260.4947
20,2021-05-10 16:59:17,213.5546
21,2021-05-10 16:59:15,212.5062
22,2021-05-10 16:59:13,185.8996
23,2021-05-10 16:59:11,158.3234
24,2021-05-10 16:59:09,62.90141
25,2021-05-10 16:59:07,61.19835
26,2021-05-10 16:59:05,94.28934
27,2021-05-10 16:59:03,214.3362
28,2021-05-10 16:59:01,219.1933
29,2021-05-10 16:58:59,230.3589
30,2021-05-10 16:58:56,238.1653
31,2021-05-10 16:58:55,228.8348
32,2021-05-10 16:58:52,271.6833
33,2021-05-10 16:58:50,230.8399
34,2021-05-10 16:58:48,200.6148
35,2021-05-10 16:58:46,123.3511
36,2021-05-10 16:58:44,133.1107
37,2021-05-10 16:58:42,107.6933
38,2021-05-10 16:58:40,72.30074
39,2021-05-10 16:58:38,137.353
40,2021-05-10 16:58:36,156.4143
41,2021-05-10 16:58:34,205.1536
42,2021-05-10 16:58:32,202.6459
43,2021-05-10 16:58:30,203.5395
44,2021-05-10 16:58:28,214.7103
45,2021-05-10 16:58:26,223.9482
46,2021-05-10 16:58:24,249.6254
47,2021-05-10 16:58:22,198.0595
48,2021-05-10 16:58:20,211.2769
49,2021-05-10 16:58:18,155.4245
50,2021-05-10 16:58:16,83.91903
51,2021-05-10 16:58:14,57.55143
52,2021-05-10 16:58:12,59.37722
53,2021-05-10 16:58:10,88.7622
54,2021-05-10 16:58:07,187.3627
55,2021-05-10 16:58:07,176.6409
56,2021-05-10 16:58:04,215.4171
57,2021-05-10 16:58:02,208.3359
58,2021-05-10 16:57:59,300.7423
59,2021-05-10 16:57:57,282.7979
60,2021-05-10 16:57:55,263.0251
61,2021-05-10 16:57:53,176.9637
62,2021-05-10 16:57:51,169.6767
63,2021-05-10 16:57:49,159.4094
64,2021-05-10 16:57:47,79.72761
65,2021-05-10 16:57:45,88.75329
66,2021-05-10 16:57:43,107.6962
67,2021-05-10 16:57:41,141.8973
68,2021-05-10 16:57:39,245.0367
69,2021-05-10 16:57:37,222.0021
70,2021-05-10 16:57:35,238.8268
71,2021-05-10 16:57:33,244.9716
72,2021-05-10 16:57:31,249.5974
73,2021-05-10 16:57:29,201.6474
74,2021-05-10 16:57:27,179.9558
75,2021-05-10 16:57:25,170.7726
76,2021-05-10 16:57:24,69.69239
77,2021-05-10 16:57:21,94.34049
78,2021-05-10 16:57:19,86.52489
79,2021-05-10 16:57:16,134.7287
80,2021-05-10 16:57:15,184.7116
81,2021-05-10 16:57:13,218.1987
82,2021-05-10 16:57:12,222.8629
83,2021-05-10 16:57:08,241.8679
84,2021-05-10 16:57:06,225.4344
85,2021-05-10 16:57:04,208.9371
86,2021-05-10 16:57:02,165.7127
87,2021-05-10 16:57:00,111.2801
88,2021-05-10 16:56:58,80.46235
89,2021-05-10 16:56:56,77.02613
90,2021-05-10 16:56:54,98.58515
91,2021-05-10 16:56:52,145.6373
92,2021-05-10 16:56:50,204.1845
93,2021-05-10 16:56:48,230.8196
94,2021-05-10 16:56:46,239.6487
95,2021-05-10 16:56:44,275.4725
96,2021-05-10 16:56:42,256.4522
97,2021-05-10 16:56:40,228.8064
98,2021-05-10 16:56:38,203.0127
99,2021-05-10 16:56:36,164.8932
100,2021-05-10 16:56:34,112.2191
101,2021-05-10 16:56:32,92.46432
102,2021-05-10 16:56:30,74.94601
103,2021-05-10 16:56:28,89.39009
104,2021-05-10 16:56:25,122.257
105,2021-05-10 16:56:23,160.2485
106,2021-05-10 16:56:21,250.3601
107,2021-05-10 16:56:19,282.2898
108,2021-05-10 16:56:17,265.8074
109,2021-05-10 16:56:15,259.5719
110,2021-05-10 16:56:13,170.036
111,2021-05-10 16:56:11,157.8515
112,2021-05-10 16:56:09,77.5989
113,2021-05-10 16:56:07,79.12627
114,2021-05-10 16:56:05,102.0357
115,2021-05-10 16:56:03,137.9024
116,2021-05-10 16:56:01,147.4111
117,2021-05-10 16:55:59,169.195
118,2021-05-10 16:55:57,173.594
119,2021-05-10 16:55:55,196.3713
120,2021-05-10 16:55:53,267.0266
121,2021-05-10 16:55:51,265.2657
122,2021-05-10 16:55:49,209.0073
123,2021-05-10 16:55:47,108.4006
124,2021-05-10 16:55:45,99.15231
125,2021-05-10 16:55:43,105.5703
126,2021-05-10 16:55:41,95.52913
127,2021-05-10 16:55:38,95.43975
128,2021-05-10 16:55:36,98.0154
129,2021-05-10 16:55:34,169.3144
130,2021-05-10 16:55:32,182.2298
131,2021-05-10 16:55:31,195.7752
132,2021-05-10 16:55:28,238.9318
133,2021-05-10 16:55:26,246.3137
134,2021-05-10 16:55:24,240.301
135,2021-05-10 16:55:22,157.1753
136,2021-05-10 16:55:20,117.4583
137,2021-05-10 16:55:18,115.5036
138,2021-05-10 16:55:16,62.77881
139,2021-05-10 16:55:15,88.81923
140,2021-05-10 16:55:12,155.6317
141,2021-05-10 16:55:10,199.4219
142,2021-05-10 16:55:08,205.6955
143,2021-05-10 16:55:06,237.9556
144,2021-05-10 16:55:04,252.7909
145,2021-05-10 16:55:02,252.1726
146,2021-05-10 16:55:00,232.7559
147,2021-05-10 16:54:58,231.4145
148,2021-05-10 16:54:56,181.9164
149,2021-05-10 16:54:54,188.8555
150,2021-05-10 16:54:52,153.4974
151,2021-05-10 16:54:50,60.17398
152,2021-05-10 16:54:48,90.93566
153,2021-05-10 16:54:45,136.4638
154,2021-05-10 16:54:43,195.7029
155,2021-05-10 16:54:41,214.1552
156,2021-05-10 16:54:39,224.9649
157,2021-05-10 16:54:37,232.4022
158,2021-05-10 16:54:35,217.3284
159,2021-05-10 16:54:33,220.1015
160,2021-05-10 16:54:31,220.3261
161,2021-05-10 16:54:29,148.5641
162,2021-05-10 16:54:27,95.57365
163,2021-05-10 16:54:25,64.99557
164,2021-05-10 16:54:23,104.9263
165,2021-05-10 16:54:21,126.8504
166,2021-05-10 16:54:19,186.2744
167,2021-05-10 16:54:17,249.9498
168,2021-05-10 16:54:15,204.6865
169,2021-05-10 16:54:13,228.7255
170,2021-05-10 16:54:11,250.8139
171,2021-05-10 16:54:09,252.1607
172,2021-05-10 16:54:07,212.2114
173,2021-05-10 16:54:05,176.2848
174,2021-05-10 16:54:03,154.3653
175,2021-05-10 16:54:01,103.5457
176,2021-05-10 16:53:59,85.82352
177,2021-05-10 16:53:57,63.37596
178,2021-05-10 16:53:54,80.22564
179,2021-05-10 16:53:52,145.2109
180,2021-05-10 16:53:50,215.2711
181,2021-05-10 16:53:48,262.3547
182,2021-05-10 16:53:46,282.5433
183,2021-05-10 16:53:44,275.821
184,2021-05-10 16:53:42,275.9533
